Rank,Company Name,Ticker,Status,Note,Sector,Subsector,Filing Date,Revenue Millions,Revenue Growth Pct,Total Ai Mentions,Ai Count,Ml Count,Deep Learning Count,Neural Network Count,Genai Count,Llm Count,Gpt Count,Ai Classification,Benefit Quote,Risk Quote,All Quotes,Sec Url,Mentions Metadata
1,Walmart,WMT,has_10k,,Retail,Variety Stores,2023-03-17T00:00:00Z,572800.0,2.4,0,0,0,0,0,0,0,0,no_ai_mention,We continue to make investments in supply chain automation to support our omni-channel strategy.,,"[{""text"": ""We continue to make investments in supply chain automation to support our omni-channel strategy."", ""type"": ""benefit""}, {""text"": ""Consistent with its strategy, Walmart U.S. continues to develop technology tools and services to better serve customers and help stores operate more efficiently, such as pickup and delivery, Walmart+, ship-from-store and other initiatives which provide convenient and seamless omni-channel shopping experiences."", ""type"": ""benefit""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMT&type=10-K,
2,Amazon,AMZN,has_10k,,Retail,Catalog And Mail-Order Houses,2023-02-03T00:00:00Z,513983.0,9.4,7,3,4,0,0,0,0,0,both,"We believe that advances in technology, specifically the speed and reduced cost of processing power, data storage and analytics, improved wireless connectivity, and the practical applications of artificial intelligence and machine learning, will continue to improve users' experience on the Internet and increase its ubiquity in people's lives. To best take advantage of these continued advances in technology, we are investing in AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services, to developers and enterprises of all sizes.","We are subject to general business regulations and laws, as well as regulations and laws specifically governing the Internet, physical, e-commerce, and omnichannel retail, digital content, web services, electronic devices, advertising, artificial intelligence technologies and services, and other products and services that we offer or sell. These regulations and laws cover taxation, privacy, data use, data protection, data security, data localization, network security, consumer protection, pricing, content, copyrights, distribution, transportation, mobile communications, electronic device certification, electronic waste, energy consumption, environmental regulation, electronic contracts and other communications, competition, employment, trade and protectionist measures, web services, the provision of online payment services, registration, licensing, and information reporting requirements, unencumbered Internet access to our services or access to our facilities, the design and operation of websites, health, safety, and sanitation standards, the characteristics, legality, and quality of products and services, product labeling, the commercial operation of unmanned aircraft systems, healthcare, and other matters. It is not clear how existing laws governing issues such as property ownership, libel, privacy, data use, data protection, data security, data localization, network security, and consumer protection apply to aspects of our operations such as the Internet, e-commerce, digital content, web services, electronic devices, advertising, and artificial intelligence technologies and services.","[{""text"": ""We believe that advances in technology, specifically the speed and reduced cost of processing power, data storage and analytics, improved wireless connectivity, and the practical applications of artificial intelligence and machine learning, will continue to improve users' experience on the Internet and increase its ubiquity in people's lives. To best take advantage of these continued advances in technology, we are investing in AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services, to developers and enterprises of all sizes."", ""type"": ""benefit""}, {""text"": ""We are subject to general business regulations and laws, as well as regulations and laws specifically governing the Internet, physical, e-commerce, and omnichannel retail, digital content, web services, electronic devices, advertising, artificial intelligence technologies and services, and other products and services that we offer or sell. These regulations and laws cover taxation, privacy, data use, data protection, data security, data localization, network security, consumer protection, pricing, content, copyrights, distribution, transportation, mobile communications, electronic device certification, electronic waste, energy consumption, environmental regulation, electronic contracts and other communications, competition, employment, trade and protectionist measures, web services, the provision of online payment services, registration, licensing, and information reporting requirements, unencumbered Internet access to our services or access to our facilities, the design and operation of websites, health, safety, and sanitation standards, the characteristics, legality, and quality of products and services, product labeling, the commercial operation of unmanned aircraft systems, healthcare, and other matters. It is not clear how existing laws governing issues such as property ownership, libel, privacy, data use, data protection, data security, data localization, network security, and consumer protection apply to aspects of our operations such as the Internet, e-commerce, digital content, web services, electronic devices, advertising, and artificial intelligence technologies and services."", ""type"": ""risk""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN&type=10-K,"[{""term"":""machine_learning"",""section_num"":""16"",""section_name"":""Form"",""position"":35623},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of Part II"",""position"":89739},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of Part II"",""position"":91066},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of Part II"",""position"":111415},{""term"":""machine_learning"",""section_num"":""7"",""section_name"":""of Part II"",""position"":111443},{""term"":""machine_learning"",""section_num"":""7"",""section_name"":""of Part II"",""position"":111780},{""term"":""machine_learning"",""section_num"":""8"",""section_name"":""of Part II"",""position"":178295}]"
3,Exxon Mobil,XOM,has_10k,,Energy,Petroleum Refining,2023-02-22T00:00:00Z,413680.0,44.8,0,0,0,0,0,0,0,0,no_ai_mention,,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM&type=10-K,
4,Apple,AAPL,has_10k,,Software & Technology,Electronic Computers,2023-11-03T00:00:00Z,394328.0,7.8,2,1,1,0,0,0,0,0,risk,,"The Company's global operations are subject to complex and changing laws and regulations on subjects, including antitrust; privacy, data security and data localization; consumer protection; advertising, sales, billing and e-commerce; financial services and technology; product liability; intellectual property ownership and infringement; digital platforms; machine learning and artificial intelligence; internet, telecommunications and mobile communications; media, television, film and digital content; availability of third-party software applications and services; labor and employment; anticorruption; import, export and trade; foreign exchange controls and cash repatriation restrictions; anti– money laundering; foreign ownership and investment; tax; and environmental, health and safety, including electronic waste, recycling, product design and climate change.","[{""text"": ""The Company's global operations are subject to complex and changing laws and regulations on subjects, including antitrust; privacy, data security and data localization; consumer protection; advertising, sales, billing and e-commerce; financial services and technology; product liability; intellectual property ownership and infringement; digital platforms; machine learning and artificial intelligence; internet, telecommunications and mobile communications; media, television, film and digital content; availability of third-party software applications and services; labor and employment; anticorruption; import, export and trade; foreign exchange controls and cash repatriation restrictions; anti\u2013 money laundering; foreign ownership and investment; tax; and environmental, health and safety, including electronic waste, recycling, product design and climate change."", ""type"": ""risk""}, {""text"": ""The Company also expects competition to intensify as competitors imitate the Company's approach to providing components seamlessly within their offerings or work collaboratively to offer integrated solutions."", ""type"": ""risk""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL&type=10-K,"[{""term"":""machine_learning"",""section_num"":""8"",""section_name"":""of this Form"",""position"":88047},{""term"":""artificial_intelligence"",""section_num"":""8"",""section_name"":""of this Form"",""position"":88068}]"
5,UnitedHealth Group,UNH,has_10k,,Financial Services,Hospital And Medical Service Plans,2023-02-24T00:00:00Z,324162.0,12.7,0,0,0,0,0,0,0,0,no_ai_mention,"Our ability to implement new and innovative services, automate and deploy new technologies to simplify administrative processes and clinical decision making, price our products and services adequately, provide effective service to our customers and consumers in an efficient and uninterrupted fashion, provide timely payments to care providers, and report accurately our results of operations depends on the integrity of the data in our information systems.",,"[{""text"": ""Our ability to implement new and innovative services, automate and deploy new technologies to simplify administrative processes and clinical decision making, price our products and services adequately, provide effective service to our customers and consumers in an efficient and uninterrupted fashion, provide timely payments to care providers, and report accurately our results of operations depends on the integrity of the data in our information systems."", ""type"": ""benefit""}, {""text"": ""On October 3, 2022, the Company acquired all of the outstanding common shares of Change Healthcare Inc. (Change) and funded Change's payoff of its outstanding debt and credit facility for a total of $13.9 billion in cash. The combination of the Company and Change will connect and simplify the core clinical, administrative and payment processes health care providers and payers depend on to serve patients. Change brings key technologies, connections and advanced clinical decision, administrative and financial support capabilities, enabling better workflow and transactional connectivity across the health care system."", ""type"": ""benefit""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH&type=10-K,
6,CVS Health,CVS,has_10k,,Retail,Drug Stores And Proprietary Stores,2023-02-08T00:00:00Z,322467.0,10.4,2,2,0,0,0,0,0,0,benefit,The technology leverages assisted artificial intelligence to deliver insights to the business and bring automation to otherwise manual tasks.,,"[{""text"": ""The technology leverages assisted artificial intelligence to deliver insights to the business and bring automation to otherwise manual tasks."", ""type"": ""benefit""}, {""text"": ""The Company is making concerted investments in emerging technology capabilities such as voice, artificial intelligence and robotics to further automate, reduce cost and improve the experience for all of its constituents."", ""type"": ""benefit""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS&type=10-K,"[{""term"":""artificial_intelligence"",""section_num"":""1"",""section_name"":""for further discussion of star ratings"",""position"":124856},{""term"":""artificial_intelligence"",""section_num"":""8"",""section_name"":""of this"",""position"":154915}]"
7,Berkshire Hathaway,BRK-B,has_10k,,Financial Services,"Fire, Marine And Casualty Insurance",2023-02-27T00:00:00Z,302089.0,9.4,0,0,0,0,0,0,0,0,no_ai_mention,,"We rely on technology in virtually all aspects of our business. Like those of many large businesses, certain of our information systems have been subject to computer viruses, malicious codes, unauthorized access, phishing efforts, denial-of-service attacks and other cyber-attacks. We expect to be subject to similar attacks in the future as such attacks become more sophisticated and frequent.","[{""text"": ""We rely on technology in virtually all aspects of our business. Like those of many large businesses, certain of our information systems have been subject to computer viruses, malicious codes, unauthorized access, phishing efforts, denial-of-service attacks and other cyber-attacks. We expect to be subject to similar attacks in the future as such attacks become more sophisticated and frequent."", ""type"": ""risk""}, {""text"": ""Additionally, if we are unable to acquire, develop, implement, adopt or protect rights around new technology, we may suffer a competitive disadvantage, which could also have an adverse effect on our results of operations, financial condition and/or liquidity."", ""type"": ""risk""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK&type=10-K,
8,Alphabet,GOOGL,has_10k,,Software & Technology,"Computer Programming, Data Processing",2023-02-03T00:00:00Z,282836.0,9.8,28,25,3,0,0,0,0,0,both,"We believe that AI is a foundational and transformational technology that will provide compelling and helpful benefits to people and society through its capacity to assist, complement, empower, and inspire people in almost every field of human endeavor. As an information and computer science company, we will continue to be at the forefront of advancing the frontier of AI. Through our path-breaking and field-defining research and development, we responsibly and boldly develop more capable and useful AI every day. AI already powers Google's core products that help billions of people every day and has been at the foundation of our core ads quality systems for years, helping large and small businesses all over the world to produce and run effective and efficient ad campaigns that help grow their businesses.","In addition, new and evolving products and services, including those that use AI, require significant investment and raise ethical, technological, legal, regulatory, and other challenges, which may negatively affect our brands and demand for our products and services.","[{""text"": ""We believe that AI is a foundational and transformational technology that will provide compelling and helpful benefits to people and society through its capacity to assist, complement, empower, and inspire people in almost every field of human endeavor. As an information and computer science company, we will continue to be at the forefront of advancing the frontier of AI. Through our path-breaking and field-defining research and development, we responsibly and boldly develop more capable and useful AI every day. AI already powers Google's core products that help billions of people every day and has been at the foundation of our core ads quality systems for years, helping large and small businesses all over the world to produce and run effective and efficient ad campaigns that help grow their businesses."", ""type"": ""benefit""}, {""text"": ""In addition, new and evolving products and services, including those that use AI, require significant investment and raise ethical, technological, legal, regulatory, and other challenges, which may negatively affect our brands and demand for our products and services."", ""type"": ""risk""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL&type=10-K,"[{""term"":""artificial_intelligence"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":44029},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":44054},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":46694},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":46713},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47068},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47201},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47216},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47519},{""term"":""artificial_intelligence"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47773},{""term"":""machine_learning"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47852},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47902},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47967},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":48194},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":48337},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":48436},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":51257},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":54194},{""term"":""machine_learning"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":54202},{""term"":""machine_learning"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":54436},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":74305},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":77298},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":151914},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":154475},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":171214},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":171415},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":191283},{""term"":""AI"",""section_num"":""8"",""section_name"":""FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA"",""position"":338028},{""term"":""AI"",""section_num"":""8"",""section_name"":""FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA"",""position"":338229}]"
9,McKesson,MCK,has_10k,,Healthcare,"Drugs, Drug Proprietaries And Druggists' Sundries",2023-05-09T00:00:00Z,263966.0,10.8,0,0,0,0,0,0,0,0,no_ai_mention,,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK&type=10-K,
10,Chevron,CVX,has_10k,,Energy,Petroleum Refining,2023-02-23T00:00:00Z,246252.0,51.6,0,0,0,0,0,0,0,0,no_ai_mention,"Chevron's information technology organization integrates computing, telecommunications, data management, cybersecurity and network technology to provide a digital infrastructure to enable Chevron's global operations and business processes.","Cyber threat actors could compromise the company's process control networks or other critical systems and infrastructure, resulting in disruptions to its business operations, injury to people, harm to the environment or its assets, disruptions in access to its financial reporting systems, or loss, misuse or corruption of its critical data and proprietary information, including without limitation its intellectual property and business information and that of its employees, customers, partners and other third parties.","[{""text"": ""Chevron's information technology organization integrates computing, telecommunications, data management, cybersecurity and network technology to provide a digital infrastructure to enable Chevron's global operations and business processes."", ""type"": ""benefit""}, {""text"": ""Cyber threat actors could compromise the company's process control networks or other critical systems and infrastructure, resulting in disruptions to its business operations, injury to people, harm to the environment or its assets, disruptions in access to its financial reporting systems, or loss, misuse or corruption of its critical data and proprietary information, including without limitation its intellectual property and business information and that of its employees, customers, partners and other third parties."", ""type"": ""risk""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX&type=10-K,
